game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_team_id,home_scored_avg,home_conceded_avg,away_team_id,away_scored_avg,away_conceded_avg
0,1,1,6,3,1,7,4,1,1,4,1,6,1,1,4,2.8536585365853657,2.6219512195121952,2,3.0,2.764044943820225
4,0,0,2,5,0,4,0,1,1,0,0,4,1,0,25,3.1707317073170733,3.182926829268293,30,2.7717391304347827,2.4782608695652173
2,1,1,1,3,0,3,4,1,3,0,0,3,2,0,8,2.3191489361702127,2.617021276595745,5,2.632183908045977,2.5402298850574714
5,0,1,1,0,1,1,2,0,0,1,0,3,2,0,26,2.5,2.682926829268293,19,2.977272727272727,2.477272727272727
1,0,0,1,3,1,2,5,1,3,5,0,0,4,1,9,2.5795454545454546,2.840909090909091,6,2.597560975609756,2.573170731707317
2,3,0,2,5,0,2,3,0,3,0,0,2,5,0,53,3.317073170731707,2.073170731707317,18,2.875,2.5795454545454546
4,3,0,4,2,0,1,4,0,2,1,0,3,2,1,22,3.451219512195122,2.4146341463414633,13,2.5121951219512195,2.7195121951219514
2,1,1,2,4,1,4,5,0,0,5,0,4,0,1,24,2.7346938775510203,2.989795918367347,17,2.808988764044944,2.674157303370787
4,7,0,4,2,0,4,2,0,4,2,1,2,1,0,30,2.4782608695652173,2.7717391304347827,1,2.207317073170732,2.6341463414634148
3,0,0,3,2,0,1,2,1,1,0,0,3,6,0,3,2.3069306930693068,2.9405940594059405,6,2.597560975609756,2.573170731707317
4,0,0,2,1,0,1,7,0,2,1,1,5,6,0,21,2.768292682926829,2.6707317073170733,14,3.0277777777777777,2.5277777777777777
6,3,0,2,4,0,4,2,0,2,3,1,4,1,0,10,3.1951219512195124,2.573170731707317,29,2.8780487804878048,3.048780487804878
2,5,0,2,0,0,3,2,0,1,5,0,2,1,1,8,2.3191489361702127,2.617021276595745,16,2.8380952380952382,2.3714285714285714
4,3,1,6,2,1,0,2,0,3,4,0,2,4,0,2,2.764044943820225,3.0,3,2.9405940594059405,2.3069306930693068
2,3,0,5,3,0,6,1,1,0,1,0,3,2,0,21,2.768292682926829,2.6707317073170733,1,2.207317073170732,2.6341463414634148
4,3,0,6,1,0,3,2,0,2,3,1,3,2,0,28,2.8292682926829267,2.7804878048780486,22,2.4146341463414633,3.451219512195122
3,4,0,3,1,0,3,2,0,3,4,1,1,2,0,30,2.4782608695652173,2.7717391304347827,52,2.7790697674418605,2.627906976744186
0,3,0,3,4,0,3,5,0,2,3,0,1,2,0,53,3.317073170731707,2.073170731707317,1,2.207317073170732,2.6341463414634148
5,4,0,2,1,1,4,1,0,2,5,0,1,0,0,18,2.5795454545454546,2.875,30,2.7717391304347827,2.4782608695652173
3,4,0,4,3,0,4,0,0,1,4,0,3,4,1,2,2.764044943820225,3.0,23,2.909090909090909,2.727272727272727
2,1,0,0,6,0,4,3,0,2,3,1,2,3,0,14,2.5277777777777777,3.0277777777777777,13,2.5121951219512195,2.7195121951219514
4,5,1,3,5,0,4,0,1,6,1,0,3,1,0,22,3.451219512195122,2.4146341463414633,20,2.881720430107527,2.6774193548387095
1,5,1,4,5,0,1,5,0,2,3,1,2,0,0,29,3.048780487804878,2.8780487804878048,21,2.6707317073170733,2.768292682926829
2,3,0,5,6,0,2,3,0,2,3,1,4,3,1,17,2.674157303370787,2.808988764044944,4,2.6219512195121952,2.8536585365853657
1,4,1,4,1,0,3,6,0,2,5,0,1,3,0,53,3.317073170731707,2.073170731707317,7,1.9634146341463414,3.341463414634146
2,3,0,1,7,0,5,1,1,4,1,0,2,3,0,52,2.627906976744186,2.7790697674418605,21,2.6707317073170733,2.768292682926829
2,3,1,6,2,1,3,5,1,2,1,0,1,2,0,24,2.7346938775510203,2.989795918367347,30,2.7717391304347827,2.4782608695652173
3,1,1,3,10,1,5,3,0,3,2,0,2,5,0,17,2.674157303370787,2.808988764044944,19,2.977272727272727,2.477272727272727
0,2,0,5,4,0,6,1,0,5,4,0,4,3,1,21,2.768292682926829,2.6707317073170733,7,1.9634146341463414,3.341463414634146
0,1,0,6,3,0,2,0,0,5,4,1,4,3,1,14,2.5277777777777777,3.0277777777777777,16,2.8380952380952382,2.3714285714285714
2,3,0,3,1,0,2,1,1,3,0,1,4,6,0,10,3.1951219512195124,2.573170731707317,12,2.292682926829268,2.7560975609756095
5,6,0,1,4,0,2,1,0,4,3,0,2,3,0,53,3.317073170731707,2.073170731707317,28,2.7804878048780486,2.8292682926829267
2,3,1,2,4,1,5,2,1,3,4,0,4,0,0,26,2.5,2.682926829268293,30,2.7717391304347827,2.4782608695652173
3,2,1,4,3,1,2,3,0,4,3,0,2,3,0,21,2.768292682926829,2.6707317073170733,19,2.977272727272727,2.477272727272727
6,3,0,0,4,0,3,2,1,2,3,1,1,3,0,13,2.7195121951219514,2.5121951219512195,16,2.8380952380952382,2.3714285714285714
3,2,0,2,3,1,0,5,0,1,4,1,7,1,0,7,3.341463414634146,1.9634146341463414,17,2.808988764044944,2.674157303370787
3,4,1,3,2,0,0,3,0,0,5,0,4,2,1,25,3.1707317073170733,3.182926829268293,21,2.6707317073170733,2.768292682926829
3,0,0,1,4,1,4,1,1,2,1,0,4,1,0,9,2.5795454545454546,2.840909090909091,3,2.9405940594059405,2.3069306930693068
4,3,0,4,2,1,1,2,1,2,3,0,1,5,0,52,2.627906976744186,2.7790697674418605,1,2.207317073170732,2.6341463414634148
2,4,0,3,2,1,7,5,1,4,3,1,5,3,0,16,2.3714285714285714,2.8380952380952382,19,2.977272727272727,2.477272727272727
3,5,0,3,1,0,3,1,0,4,3,0,0,4,0,30,2.4782608695652173,2.7717391304347827,53,2.073170731707317,3.317073170731707
4,7,0,3,2,1,3,4,1,3,2,0,2,1,0,25,3.1707317073170733,3.182926829268293,20,2.881720430107527,2.6774193548387095
3,1,0,1,3,0,2,5,0,4,2,1,4,1,1,5,2.5402298850574714,2.632183908045977,1,2.207317073170732,2.6341463414634148
5,1,1,0,3,1,3,1,0,5,6,1,2,3,0,23,2.727272727272727,2.909090909090909,18,2.875,2.5795454545454546
6,2,0,3,7,0,2,0,1,6,2,0,3,1,0,14,2.5277777777777777,3.0277777777777777,10,2.573170731707317,3.1951219512195124
3,1,1,3,2,0,1,0,1,3,5,0,3,2,1,20,2.6774193548387095,2.881720430107527,18,2.875,2.5795454545454546
1,3,1,4,3,1,7,5,1,4,0,0,1,2,0,21,2.768292682926829,2.6707317073170733,16,2.8380952380952382,2.3714285714285714
3,2,0,2,1,0,1,2,1,0,2,0,0,3,1,18,2.5795454545454546,2.875,19,2.977272727272727,2.477272727272727
1,2,0,6,5,0,2,6,1,2,4,0,5,4,0,14,2.5277777777777777,3.0277777777777777,17,2.808988764044944,2.674157303370787
